Bechyně
Beroun 1
Blansko 1
Bohumín 1
Brno 12
Brno 15
Brno 16
Brno 2
Brno 21
Brno 24
Brno 25
Brno 27
Brno 28
Brno 35
Brno 38
Brno 7
Brno 8
Břeclav 2
Bystřice nad Pernštejnem
Bystřice pod Hostýnem 1
centrální sklad Jihlava
centrální sklad Praha
COHC Ostrava
COHC Praha
Čelákovice
Český Brod
Český Těšín 1
Čestlice
Depo Benešov 70
Depo Brno 71
Depo Brno 73
Depo Česká Třebová 70
Depo České Budějovice 71
Depo Hodonín 70
Depo Hradec Králové 70
Depo Jihlava 70
Depo Karlovy Vary 70
Depo Klatovy 70
Depo Liberec 70
Depo Mladá Boleslav 70
Depo Mošnov 71
Depo Olomouc 72
Depo Opava 70
Depo Ostrava 71
Depo Pardubice 71
Depo Plzeň 72
Depo Praha 701
Depo Praha 703
Depo Praha 704
Depo Strakonice
Depo Šumperk 70
Depo Tábor 70
Depo Trutnov 70
Depo Třebíč 70
Depo Zlín 70
Depo Žatec 70
Detašované pracoviště Mělník
Dobřejovice
dodejna I Praha 111
dodejna I Praha 411
dodejna I Praha 412
dodejna I Toužim
dodejna II Hořice v Podkrkonoší
dodejna II Hustopeče u Brna
dodejna II Praha 10
dodejna II Praha 97
Dolní Loučky
Frýdek-Místek 1
Frýdlant nad Ostravicí
Havířov 1
Hodonín 1
Holešov
Horní Slavkov
HUB D I Beroun 1
HUB D I Jablonec n/Nisou
HUB D I Nepomuk
HUB D I Poděbrady
HUB D I Praha 98
HUB D I Příbram
HUB D I Uherský Brod 1
HUB D II Čáslav
HUB D II Český Krumlov
HUB D II Karviná 1
HUB D II Kladno
HUB D II Liberec 2
HUB D II Mělník
HUB D II Mladá Boleslav
HUB D II Moravský Krumlov
HUB D II Most
HUB D II Ostrava 30
HUB D II Praha 3
HUB D II Praha 4
HUB D II Praha 415
HUB D II Praha 5
HUB D II Praha 515
HUB D II Prostějov
HUB D II Svitavy
HUB D II Uherské Hradiště 1
HUB D II Zábřeh
HUB D II Žďár nad Sázavou 1
HUB SD Benešov
HUB SD Boskovice
HUB SD Brno 31
HUB SD Brno 33
HUB SD Bruntál
HUB SD Břeclav
HUB SD Česká Lípa
HUB SD Česká Třebová
HUB SD Děčín
HUB SD Frýdek-Místek
HUB SD Havlíčkův Brod
HUB SD Hodonín
HUB SD Hradec Králové
HUB SD Cheb
HUB SD Chomutov
HUB SD Jičín
HUB SD Jihlava
HUB SD Jindřichův Hradec
HUB SD Karlovy Vary
HUB SD Kroměříž
HUB SD Lovosice
HUB SD Náchod
HUB SD Nový Jičín
HUB SD Olomouc
HUB SD Opava
HUB SD Ostrava 31
HUB SD Pardubice
HUB SD Pelhřimov
HUB SD Prachatice
HUB SD Rychnov nad Kněžnou
HUB SD Říčany u Prahy
HUB SD Strakonice
HUB SD Tábor
HUB SD Tachov
HUB SD Trutnov
HUB SD Třebíč
HUB SD Turnov
HUB SD Vsetín
HUB SD Zlín
HUB SD Znojmo
HUB SD Žatec
Hustopeče u Brna
Chotěboř
Chýnov
Kamenice
Karviná 1
Karviná 4
Kladno 1
Klatovy 1
Klobouky u Brna
Kopřivnice
Kostelec nad Černými Lesy
Kraslice
Kroměříž 1
Kuřim
listovní třídírna Brno
listovní třídírna Olomouc
listovní třídírna Ostrava
listovní třídírna Praha
Lomnice u Tišnova
Lysá nad Labem
Mělník 1
Milovice nad Labem 3
Mladá Boleslav 1
Mladá Vožice
Mnichovice
Modřice
Mohelnice
Most 1
Mukařov
Nejdek 1
Nepomuk 1
Nové Strašecí
Nový Jičín 1
odd. Pošta 90 Ostrava a služby
odd. Pošta 90 Vítkov a služby
odd. poštovní úložna Brno 300
Orlová 4
Ostrava 1
Ostrava 30
Ostrava 36
Ostrava 8
Ostrov nad Ohří
Partner Ondřejov
Partner Senohraby
Písek 1
Planá nad Lužnicí
Plzeň 1
Poděbrady 1
Pohořelice
Postservis Brno
Praha 012
Praha 1
Praha 10
Praha 104
Praha 106
Praha 111
Praha 112
Praha 113
Praha 114
Praha 120
Praha 3
Praha 4
Praha 41
Praha 411
Praha 412
Praha 414
Praha 415
Praha 416
Praha 5
Praha 515
Praha 6
Praha 7
Praha 8
Praha 81
Praha 82
Praha 84
Praha 88
Praha 9
Praha 900
Praha 911
Praha 913
Praha 914
Praha 915
Praha 916
Praha 917
Praha 96
Praha 97
Praha 98
Praha 99
Prachatice
provoz Boskovice
provoz Bruntál 70
provoz Česká Lípa 70
provoz Děčín
provoz Havířov
provoz Havlíčkův Brod 70
provoz Cheb 70
provoz Chomutov
provoz Jindřichův Hradec 70
provoz Karviná
provoz Kladno 70
provoz Kolín 70
provoz Kroměříž 70
provoz Lovosice 70
provoz Most 70
provoz Náchod 70
provoz Nymburk
provoz Pelhřimov 70
provoz Příbram 70
provoz Rychnov nad Kněžnou 70
provoz Třinec 70
provoz Uherské Hradiště 70
provoz Uherský Brod
provoz Varnsdorf
provoz Vsetín 70
provoz Vyškov
provoz Znojmo 70
provoz Žďár nad Sázavou 70
Přerov 2
Příbram 1
Pyšely
Rakovník 1
Rokycany 1
Rosice u Brna
Roudnice nad Labem
Rožnov pod Radhoštěm 1
Říčany u Prahy
Sezimovo Ústí 2
SND D I Plzeň 1
SND D II Brno 28
SND D II Hranice
SND D II Přerov
SND D II Rokycany
SND D II Sokolov
SND D II Telč
SND D II Teplice
SND D II Velké Meziříčí
SND dodejna I Praha 82
SND dodejna I Praha 9
SND dodejna II Praha 1
SND dodejna II Praha 2
SND dodejna II Praha 6
SND dodejna II Praha 8
SND II Klatovy
SND II Valašské Meziříčí
SND Písek
SND samostatná dodejna Kolín
SND SD Domažlice
SND SD Plzeň 96
SND SD Vyškov
Sokolov 1
Strakonice 1
Strančice
Šlapanice u Brna
Štětí
Tábor 3
Tachov 1
TC Brno
TC České Budějovice
TC Mošnov
TC Pardubice
TC Plzeň
TC Praha SPU
TC Ústí nad Labem
Telč
Teplice 1
Tišnov 1
Toužim
Uherské Hradiště 1
Uherský Brod 1
Úvaly
Valašské Meziříčí 1
Varnsdorf 1
Velká Bíteš
Velké Meziříčí
Velké Popovice
Vsetín 1
vymístěné pracoviště Milevsko
vymístěné pracoviště Soběslav
Zábřeh
Zlín 1
Znojmo 2
Žďár nad Sázavou 1
