0067  ;Praha-Jihlava-Třebíč-Jihlava-Praha;TC Praha;67407;Depo Třebíč 70;4:30;4:45;01.04.2025;31.12.2050
0067  ;Praha-Jihlava-Třebíč-Jihlava-Praha;TC Praha;58617;centrální sklad Jihlava;5:30;6:30;01.04.2025;31.12.2050
0068  ;Praha-Brno-Praha;TC Praha;65502;TC Brno;0:10;0:55;01.04.2025;31.12.2050
0068  ;Praha-Brno-Praha;TC Praha;58607;Depo Jihlava 70;2:05;2:20;01.04.2025;31.12.2050
0069  ;Praha-Brno;TC Praha;65502;TC Brno;22:35;23:20;14.04.2025;31.12.2050
0076  ;Praha-Olomouc-Ostrava;TC Praha;22220;listovní třídírna Praha;20:50;21:30;06.04.2025;31.12.2050
0076  ;Praha-Olomouc-Ostrava;TC Praha;77620;listovní třídírna Olomouc;0:55;1:45;06.04.2025;31.12.2050
0076  ;Praha-Olomouc-Ostrava;TC Praha;70071;Depo Ostrava 71;3:05;3:30;06.04.2025;31.12.2050
0077  ;Praha-Brno-Mošnov-Ostrava;TC Praha;65502;TC Brno;22:30;23:15;06.04.2025;31.12.2050
0077  ;Praha-Brno-Mošnov-Ostrava;TC Praha;74202;TC Mošnov;1:15;1:45;06.04.2025;31.12.2050
0077  ;Praha-Brno-Mošnov-Ostrava;TC Praha;70071;Depo Ostrava 71;2:30;3:00;06.04.2025;31.12.2050
0078  ;Praha-Mošnov-Ostrava;TC Praha;74202;TC Mošnov;2:45;3:15;06.04.2025;31.12.2050
0078  ;Praha-Mošnov-Ostrava;TC Praha;70071;Depo Ostrava 71;4:00;4:30;06.04.2025;31.12.2050
0080  ;Praha-Olomouc-Praha;TC Praha;22220;listovní třídírna Praha;22:15;22:30;01.04.2025;31.12.2050
0080  ;Praha-Olomouc-Praha;TC Praha;77620;listovní třídírna Olomouc;1:15;1:45;01.04.2025;31.12.2050
0080  ;Praha-Olomouc-Praha;TC Praha;22220;listovní třídírna Praha;4:30;4:40;01.04.2025;31.12.2050
0085  ;Praha-Kroměříž-Zlín;TC Praha;76707;provoz Kroměříž 70;3:30;4:00;01.04.2025;31.12.2050
0085  ;Praha-Kroměříž-Zlín;TC Praha;76607;Depo Zlín 70;4:45;5:00;01.04.2025;31.12.2050
0086  ;Praha-Olomouc;TC Praha;22220;listovní třídírna Praha;20:15;20:35;22.04.2025;31.12.2050
0086  ;Praha-Olomouc;TC Praha;77620;listovní třídírna Olomouc;0:45;1:15;22.04.2025;31.12.2050
0086  ;Praha-Olomouc;TC Praha;77072;Depo Olomouc 72;0:45;1:15;22.04.2025;31.12.2050
0087  ;Praha-Olomouc;TC Praha;22220;listovní třídírna Praha;20:15;20:35;04.04.2025;31.12.2050
0087  ;Praha-Olomouc;TC Praha;77620;listovní třídírna Olomouc;0:45;1:15;04.04.2025;31.12.2050
0087  ;Praha-Olomouc;TC Praha;77072;Depo Olomouc 72;0:45;1:15;04.04.2025;31.12.2050
0088  ;Praha-Olomouc;TC Praha;77620;listovní třídírna Olomouc;3:00;3:30;01.04.2025;31.12.2050
0088  ;Praha-Olomouc;TC Praha;77072;Depo Olomouc 72;3:00;3:30;01.04.2025;31.12.2050
0091  ;Praha-Mošnov;TC Praha;74202;TC Mošnov;21:30;22:30;01.04.2025;31.12.2050
0092  ;Praha-Mošnov;TC Praha;74202;TC Mošnov;0:00;0:30;01.04.2025;31.12.2050
0093  ;Praha-Mošnov;TC Praha;74202;TC Mošnov;1:00;1:30;01.04.2025;31.12.2050
0094  ;Praha-Mošnov;TC Praha;74202;TC Mošnov;2:00;2:30;01.04.2025;31.12.2050
0096  ;Praha-Mošnov;TC Praha;74202;TC Mošnov;3:00;3:30;01.04.2025;31.12.2050
0097  ;Praha-Mošnov;TC Praha;74202;TC Mošnov;3:30;4:00;01.04.2025;31.12.2050
0098  ;Praha-Ostrava;TC Praha;70071;Depo Ostrava 71;4:30;5:00;01.04.2025;31.12.2050
0099  ;Praha-Mošnov;TC Praha;74202;TC Mošnov;4:45;5:15;01.04.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;9:15;9:35;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;9:55;10:25;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;10:45;10:55;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;11:00;11:20;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;11:40;12:10;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;12:30;12:40;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;12:45;13:05;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;13:25;13:55;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;14:15;14:25;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;14:30;14:50;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;15:10;15:40;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;16:00;16:10;31.03.2025;31.12.2050
0120  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;16:15;16:30;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;16:20;16:30;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;16:50;17:20;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;17:25;17:30;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;17:35;17:55;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;18:00;18:30;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;18:40;18:50;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;18:55;19:25;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;19:35;20:05;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;20:15;20:25;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;20:30;21:00;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;21:10;21:40;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;21:50;22:00;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;22:05;22:35;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;22:45;23:15;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;23:25;23:35;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;23:40;0:10;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;0:20;0:50;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;1:00;1:10;31.03.2025;31.12.2050
0121  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;1:15;1:25;31.03.2025;31.12.2050
0122  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;1:30;1:45;09.10.2024;31.12.2050
0122  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;1:55;2:25;09.10.2024;31.12.2050
0122  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;2:35;2:45;09.10.2024;31.12.2050
0122  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;2:50;3:20;09.10.2024;31.12.2050
0122  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;3:30;4:00;09.10.2024;31.12.2050
0122  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;4:10;4:20;09.10.2024;31.12.2050
0122  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;4:25;4:30;09.10.2024;31.12.2050
0123  ;Praha-Praha 120-Praha;TC Praha;22200;TC Praha SPU;17:30;17:35;06.01.2025;31.12.2050
0123  ;Praha-Praha 120-Praha;TC Praha;22000;Praha 120;17:40;18:00;06.01.2025;31.12.2050
0123  ;Praha-Praha 120-Praha;TC Praha;22200;TC Praha SPU;18:10;18:30;06.01.2025;31.12.2050
0123  ;Praha-Praha 120-Praha;TC Praha;22000;Praha 120;18:40;19:00;06.01.2025;31.12.2050
0123  ;Praha-Praha 120-Praha;TC Praha;22200;TC Praha SPU;19:10;19:40;06.01.2025;31.12.2050
0123  ;Praha-Praha 120-Praha;TC Praha;22000;Praha 120;19:50;20:10;06.01.2025;31.12.2050
0123  ;Praha-Praha 120-Praha;TC Praha;22200;TC Praha SPU;20:20;20:30;06.01.2025;31.12.2050
0123  ;Praha-Praha 120-Praha;TC Praha;22000;Praha 120;20:40;20:55;06.01.2025;31.12.2050
0123  ;Praha-Praha 120-Praha;TC Praha;22200;TC Praha SPU;21:05;21:15;06.01.2025;31.12.2050
0125  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;11:25;11:35;09.10.2024;31.12.2050
0125  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;11:40;11:50;09.10.2024;31.12.2050
0125  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;12:00;12:20;09.10.2024;31.12.2050
0125  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;12:30;12:40;09.10.2024;31.12.2050
0125  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;12:45;12:55;09.10.2024;31.12.2050
0125  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;13:05;13:25;09.10.2024;31.12.2050
0125  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;13:35;13:45;09.10.2024;31.12.2050
0125  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;13:50;14:30;09.10.2024;31.12.2050
0126  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;15:15;15:25;09.10.2024;31.12.2050
0126  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;15:30;15:40;09.10.2024;31.12.2050
0126  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;15:50;16:10;09.10.2024;31.12.2050
0126  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;16:20;16:30;09.10.2024;31.12.2050
0126  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;16:35;16:45;09.10.2024;31.12.2050
0126  ;Praha 022-Praha 120-Praha 022;TC Praha;22000;Praha 120;16:55;17:15;09.10.2024;31.12.2050
0126  ;Praha 022-Praha 120-Praha 022;TC Praha;22220;listovní třídírna Praha;17:25;17:35;09.10.2024;31.12.2050
0126  ;Praha 022-Praha 120-Praha 022;TC Praha;22200;TC Praha SPU;17:40;18:00;09.10.2024;31.12.2050
0199  ;SPU Praha 022 - fiktivní kurs HPS;TC Praha;22200;TC Praha SPU;0:00;0:00;01.10.2024;31.12.2050
0199  ;SPU Praha 022 - fiktivní kurs HPS;TC Praha;22200;TC Praha SPU;0:01;0:01;01.10.2024;31.12.2050
0200  ;TC České Budějovice- TC Praha- TC České Budějovice;TC  České Budějovice;37019;TC České Budějovice;19:10;19:30;01.04.2025;31.12.2050
0200  ;TC České Budějovice- TC Praha- TC České Budějovice;TC  České Budějovice;22220;listovní třídírna Praha;21:40;21:50;01.04.2025;31.12.2050
0200  ;TC České Budějovice- TC Praha- TC České Budějovice;TC  České Budějovice;22000;Praha 120;22:20;22:30;01.04.2025;31.12.2050
0200  ;TC České Budějovice- TC Praha- TC České Budějovice;TC  České Budějovice;22220;listovní třídírna Praha;23:35;23:45;01.04.2025;31.12.2050
0200  ;TC České Budějovice- TC Praha- TC České Budějovice;TC  České Budějovice;37019;TC České Budějovice;1:55;2:10;01.04.2025;31.12.2050
0201  ;TC České Budějovice- TC Praha- TC České Budějovice;TC  České Budějovice;37019;TC České Budějovice;20:10;20:45;01.04.2025;31.12.2050
0201  ;TC České Budějovice- TC Praha- TC České Budějovice;TC  České Budějovice;22000;Praha 120;22:50;23:00;01.04.2025;31.12.2050
